study_hours,exam_score
7.9656044370,102.9586672510
4.9499059578,75.1512690690
8.7273812792,105.4297502604
7.2763122615,93.7551274689
1.8475961310,55.5448437264
9.7806011647,120.3919180420
7.8502573179,99.3298544189
8.0745787475,103.7790345726
2.1530226941,45.8968097004
5.0534734411,77.6574587983
4.3371822181,68.3127152842
9.3408848996,103.9625714452
6.7947860807,86.5701337708
8.4048545194,101.3657916923
4.9907277894,82.0099711326
3.0451484961,56.2066501318
5.9912630831,85.0876305865
1.5743553049,49.3868176204
8.4486805479,101.7267386377
6.6849795921,95.1511360673
7.8227896608,101.3614996408
4.1907337132,78.1174933860
9.7362822196,112.2495882504
9.0380900919,104.3059626309
8.0054514737,98.9215919681
2.7517483707,61.8505967364
5.2004890335,79.8865345438
1.3942338921,45.0348138295
2.3886054286,58.3669896227
7.1474405792,94.7469459946
7.7028594032,110.3588157114
9.7075875919,122.1911299957
3.9324282232,65.2269949215
4.3341373543,71.0691133496
5.2260023015,71.8778072519
2.7052422318,57.3357816684
2.1692935480,57.8477266281
5.2813443360,85.6393506247
3.0421841415,59.1709618722
7.0283259521,89.4417124407
4.9343672699,66.2713093752
8.4941037645,102.8924486312
7.3023859180,89.4558223259
3.8112997724,65.9375511565
8.4903382126,99.2932327033
8.2428792175,101.3502813598
4.4873054113,64.8661486278
3.5949529354,59.6269207883
7.1424595358,104.2146820785
2.2577723525,50.4961797373
2.7991738223,55.5098757748
1.0662604278,57.1815208498
8.0823193975,115.1427313276
6.9836577093,86.5195996758
7.3464884076,93.2574182733
8.0265612792,101.9069873487
5.1302419798,87.1203030709
6.1186707636,80.9557453347
2.2581729831,55.7099081439
2.0307706618,59.1174678440
7.0156266561,94.7910302932
5.2398658553,77.4182135585
6.0871249583,84.9843223649
7.8849897167,92.2629438337
6.7124648800,89.1526178802
5.9822146059,83.5346720944
6.0328644467,86.4073327984
3.7355508826,65.2399955251
1.2773605111,51.9378964461
4.9304565031,82.0420028623
2.9312620554,62.7616120537
4.6767577935,76.8344654934
8.6806276594,105.3704841835
3.1054553728,63.2913372614
1.5247246752,47.8276448963
3.5324550282,68.0758840199
3.6423438199,66.8311456572
6.9572486325,102.6452062887
6.0132893711,92.9664447954
8.0550838820,102.3423618775
6.9788218629,88.5258779236
4.6574817530,69.3690557873
8.3261834620,108.4020907304
2.5027562792,60.0844182195
1.2044086582,51.4337819535
1.8104307470,44.8553006675
7.5012341554,100.8964485731
5.1568950723,80.9488147330
2.4514460113,52.8336916627
5.5094029759,78.9628982822
2.3708089244,59.0996529549
7.2668833757,94.7639593095
5.0154064802,76.1546926722
4.4291910349,72.7014914212
3.7136088023,66.5921791264
6.6725433381,90.8068875960
4.2563134950,79.2798110773
1.7888492738,40.5830773492
2.0620531191,54.2811470706
9.6570789809,113.3106544640
9.1772262164,110.3091665712
7.2973642043,92.8706586256
3.3928296531,56.6626134861
9.7225873961,114.5593828895
8.0087581357,108.7024370885
7.4520117024,88.2207807437
5.0442535193,82.1510414632
3.4501740566,64.2336793089
1.8675186594,53.6997682162
9.1234215689,103.1611692132
5.1019866085,76.5926187020
2.8212702832,67.6597500972
3.7536096174,71.0653483401
6.2129761205,95.2588789306
2.5909550465,65.3192222933
8.7095285568,107.5168975709
7.8266757685,107.4197408947
7.4751666036,98.2587153204
4.8888373580,80.8062210688
6.6457795663,88.3604919797
6.2568817202,87.2593419809
6.8486194140,87.8775264884
1.7599988903,58.1479113499
4.7422666195,69.6754815309
1.3745275648,54.2207084478
5.4459173732,79.8911250115
3.9687509110,75.6218672998
2.3007176998,61.0097276921
1.9306267095,63.5829311095
6.2888011496,90.8198820777
2.5353367168,51.1548240980
9.3260810654,109.6108421259
6.2295502573,80.8615909668
4.1218282408,68.3223125943
6.3182394233,94.9429378414
1.2052348393,52.2269303490
9.6270329192,108.7080947509
5.3407309325,74.9868951614
8.0446170453,100.4985383038
