questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,option.5,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,"A **hospital helpdesk bot** is asked about MRI safety rules. Instead of guessing, it searches stored manual chunks and then writes an answer from those chunks.

What approach is this?",,,,,,1,,Retrieval-Augmented Generation (RAG),Model fine-tuning only,Random token sampling,Database backup scheduling,,,6a47605d65bfd30c48fc0293,0,markdown,"RAG first **retrieves** useful documents or chunks, then the model **generates** an answer using that retrieved context. Fine-tuning, random sampling, and backups are different activities."
mcsc,markdown,"A support bot retrieves this policy line:

> ""Refunds take 7 working days.""

It answers:

> ""Refunds take 7 working days.""

How should this answer be classified?",,,,,,1,,Grounded,Not grounded,Prompt injection,Metadata filter error,,,6a47605d65bfd30c48fc0293,0,markdown,"The answer matches the retrieved source text, so it is **grounded**. It is not inventing facts outside the context."
mcsc,markdown,"An **equipment manual** has 400 pages. A technician asks for one fault-code explanation, but search keeps returning the whole PDF instead of the exact section.

What is the most direct reason to split documents into **chunks**?",,,,,,1,,To make smaller searchable pieces so the right section can be retrieved,To remove the need for a vector database,To stop users from asking follow-up questions,To avoid storing metadata,,,6a47605d65bfd30c48fc0293,0,markdown,"Chunking breaks large documents into smaller searchable units so retrieval can return the **exact useful section**, not the entire file."
mcsc,markdown,"A **shopping support bot** has chunks labelled with `product`, `status`, and `doc_type`. Before similarity search, the engineer applies:

```text
product = ""laptop""
status = ""active""
```

What is this step called?",,,,,,1,,Metadata filter,Embedding training,Output sanitization,Prompt injection,,,6a47605d65bfd30c48fc0293,0,markdown,A **metadata filter** restricts retrieval to chunks whose labels match selected conditions — like searching only one shelf before picking the best book.
mcsc,markdown,"A company is preparing its policy PDFs for a RAG system. Chunking, embedding, and storing vectors in the vector database happen once during setup. A user question is answered later when someone opens the chat app.

When does **chunking** mainly happen in this workflow?",,,,,,1,,At indexing time,At inference time only,Only when the user gives thumbs down,Only during human evaluation,,,6a47605d65bfd30c48fc0293,0.5,markdown,"Chunking is part of **indexing time** — the offline preparation phase. At **inference time**, the system retrieves already-chunked content and generates an answer."
mcsc,markdown,"A team is building a RAG bot for a **technical equipment manual**. Retrieval quality is weak with 512-character recursive chunks because answers are getting cut mid-procedure.

Which chunking choice best matches the notes for improving meaning-focused retrieval, even though indexing takes longer?",,,,,,1,,Semantic chunking,Removing all metadata,Storing one full PDF as a single chunk always,Disabling the vector database,,,6a47605d65bfd30c48fc0293,0.5,markdown,"**Semantic chunking** groups related ideas by meaning, which often improves retrieval for manuals and technical docs. It is slower during indexing but can return better chunks at answer time."
mcmc,markdown,"A **product support team** is designing chunk metadata so retrieval can narrow the corpus before similarity search.

Which of the following are common metadata fields discussed for RAG chunks?",,,,,,,,`doc_type`,`product`,`status`,`batch_normalization_rate`,,"1, 2, 3",6a47605d65bfd30c48fc0293,0.5,markdown,"`doc_type`, `product`, and `status` are standard metadata examples used for filtering policies, products, and active versus archived content. `batch_normalization_rate` is not a RAG metadata field from this lesson."
mcmc,markdown,"A **banking FAQ bot** must follow grounding rules when answering from retrieved policy chunks.

Which statements about **grounding** are correct?",,,,,,,,"If the answer is not visible in retrieved context, the bot should not invent it","When context says ""return within 10 days,"" answering ""10 days"" is grounded","When no relevant context is found, answering ""usually 10 days"" from general guesswork is grounded",Grounding means making the model output depend on verified retrieved context,,"1, 2, 4",6a47605d65bfd30c48fc0293,0.5,markdown,"Grounded answers must come from retrieved source material. Matching retrieved text is grounded, and outputs should depend on verified context. Guessing when no context is found is **not grounded**."
mcmc,markdown,"After a RAG demo, the engineering lead asks which quality checks failed for a bad answer about **Tesla 2022 revenue**.

Which items belong to the **RAG triad**?",,,,,,,,Context relevance — did retrieval bring the right chunks for the question?,Groundedness — is the answer supported by the retrieved chunks?,Answer relevance — is the answer on-topic for what was asked?,Git commit hash — is the repository clean?,,"1, 2, 3",6a47605d65bfd30c48fc0293,1,markdown,"The **RAG triad** evaluates context relevance, groundedness, and answer relevance as separate checks. A Git commit hash is unrelated to RAG answer quality."
mcmc,markdown,"A **field technician bot** gives slow, confusing, or outdated answers. The team is debugging retrieval before changing prompts.

Which symptom-and-fix pairs are correct according to the debugging guidance?",,,,,,,,Wrong product information → likely missing `product` metadata filter,Slow answers from searching the full corpus → add metadata filters before similarity search,No citation shown to the user → likely missing source tags such as `source_file`,Old policy answer → first fix should always be retraining the LLM from scratch,,"1, 2, 3",6a47605d65bfd30c48fc0293,1,markdown,"Wrong-product answers, slow full-corpus search, and missing citations map to missing product filters, missing pre-filters, and missing source metadata. For stale content, the notes recommend **re-indexing** outdated chunks — not jumping straight to full LLM retraining."
