questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,option.5,option.6,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,"A product catalog column `sku` stores codes like `AI-100`, `AI-200`, and `HR-50`. You want every SKU that **starts with** `AI-`. Which `WHERE` clause is correct?",,,,,,2,,`WHERE sku = 'AI-'`,`WHERE sku LIKE 'AI-%'`,`WHERE sku LIKE '%AI-'`,`WHERE sku LIKE 'AI_'`,,,,6a06a52b848e0cc5828a1eb5,0,markdown,"In SQL `LIKE`, `%` matches **any sequence of characters (including empty)** after the literal prefix `AI-`. **Why others are wrong:** A is exact equality. C matches strings that **end** with `AI-`, not necessarily start with `AI-`. D uses `_` which matches **exactly one** character, not any length suffix."
mcsc,markdown,You need the **newest** rows first using a column `created_at`. Which clause does that?,,,,,,2,,`ORDER BY created_at ASC`,`ORDER BY created_at DESC`,`ORDER BY created_at`,`SORT BY created_at NEWEST`,,,,6a06a52b848e0cc5828a1eb5,0,markdown,`DESC` sorts from largest/latest to smallest/earliest for typical timestamps. **Why others are wrong:** A/C sort oldest/lowest first (ASC default). D is not valid SQL in this form.
mcsc,markdown,"A table lists 10,000 support threads. You only want the **first 20** rows after sorting. Which clause caps the result size?",,,,,,2,,`OFFSET 20`,`LIMIT 20`,`TOP 20` (standard in all SQL engines),`CAP 20`,,,,6a06a52b848e0cc5828a1eb5,0,markdown,`LIMIT` caps how many rows are returned. **Why others are wrong:** `OFFSET` skips rows; it does not cap size. `TOP` is engine-specific (not universal). `CAP` is not standard SQL.
mcsc,markdown,"Table `events` has stable numeric `event_id` values. Page size is **4**, and you want **page 3** (1-based), using `ORDER BY event_id ASC`, `LIMIT 4`. What `OFFSET` value completes the pagination pattern?",,,,,,2,,`3`,`8`,`12`,`2`,,,,6a06a52b848e0cc5828a1eb5,0,markdown,1-based page \(p\) with page size \(n\): `OFFSET = (p - 1) * n`. Here \((3 - 1) \times 4 = 8\). **Why others are wrong:** A/D are common off-by-one mistakes; C would correspond to page 4 for size 4.
mcsc,markdown,"You paginate with `ORDER BY id ASC`, `LIMIT 5`, and `OFFSET`. Which `OFFSET` value returns rows whose **1-based positions** in that ordering are **11 through 15** (inclusive)?",,,,,,2,,`OFFSET 5`,`OFFSET 10`,`OFFSET 11`,`OFFSET 15`,,,,6a06a52b848e0cc5828a1eb5,0.5,markdown,"Positions 11–15 are the **third** page when the page size is 5, and pages start at offset \((page - 1) \times page\_size = (3 - 1) \times 5 = 10\). **Why others are wrong:** A would target positions 6–10; C/D misalign the skip count with the intended 1-based slice."
mcsc,markdown,You model **learners** and **skills** where each learner may list many skills and each skill tag may apply to many learners. Which design best matches a **many-to-many** relationship?,,,,,,3,,Store a comma-separated `skills` text column on `learners`,Add `learner_id` as a column on `skills` only (one FK total),"Add a `learner_skills` table with `(learner_id, skill_id)` pairs",Duplicate one full row per learner inside `skills` for every match,,,,6a06a52b848e0cc5828a1eb5,0.5,markdown,"Many-to-many is typically modeled with a **junction/bridge** table holding pairs of foreign keys. **Why others are wrong:** A is denormalized string packing. B is not sufficient alone for many-to-many. D is redundant row explosion, not a normalized bridge."
mcmc,markdown,Which statements about **normalization** (as described for relational design) are **true**?,,,,,,,,It aims to reduce repeating the same fact across many rows,It guarantees every query will run faster than a single wide table,It often means splitting one wide design into smaller tables linked by identifiers,It removes the need for joins when reading reports,,,"1,3",6a06a52b848e0cc5828a1eb5,0.5,markdown,Normalization reduces repeated facts and commonly splits tables linked by IDs. **Why others are wrong:** B is false (not a performance guarantee). D is false (normalized designs often **use joins** when reading).
mcmc,markdown,"Consider: `SELECT * FROM shipments ORDER BY shipment_id ASC LIMIT 10 OFFSET 20;`  
Which statements are **true**?",,,,,,,,At most ten rows can appear in the result,The first twenty rows in the chosen ordering are skipped before the limit is applied,"This always returns ""page 2"" if page size is 10 (using 1-based page numbering)",PostgreSQL supports `OFFSET` in this pattern,,,"1,2,4",6a06a52b848e0cc5828a1eb5,0.5,markdown,"`LIMIT 10` caps output; `OFFSET 20` skips 20 ordered rows; PostgreSQL supports `OFFSET` with `LIMIT` as described in the session notes. **Why C is wrong:** With page size 10, `OFFSET 20` corresponds to **page 3**, not page 2."
mcmc,markdown,You run a **cross join** between `customers` (200 rows) and `promo_codes` (50 rows) with **no** `ON` filter between them. Which statements are **true**?,,,,,,,,The result has at most 250 rows,The result can contain pairs that do not represent a real customer–promo association,The row count is multiplicative in the two table sizes (before any further filtering),"This pattern is usually the safest default for production ""lookup"" screens",,,"2,3",6a06a52b848e0cc5828a1eb5,1,markdown,"Cross join forms a Cartesian product (multiplicative size) and most pairs are not meaningful associations without a constraint. **Why others are wrong:** A is false (200 × 50 = 10,000). D is false (usually not a safe UI default)."
mcmc,markdown,Which statements about **foreign keys** and **inner joins** are **true**?,,,,,,,,A child row's foreign key column stores an identifier that references a parent row,An `INNER JOIN ... ON parent.id = child.parent_id` keeps rows where that match holds in both tables,An inner join between parent and child always includes parent rows that have **zero** matching child rows,Table aliases (for example `FROM orders o`) are mainly useful to shorten names and resolve ambiguous column references,,,"1,2,4",6a06a52b848e0cc5828a1eb5,1,markdown,FK stores parent identifiers; inner join keeps matched pairs; aliases help readability/ambiguity. **Why C is wrong:** Inner join **drops** parent rows with **no** matching child rows.
