questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,Priya runs n8n locally with Docker. She wants to build the Gmail → LLM → Gmail pipeline on her laptop. Which URL opens the n8n editor?,,,,,,1,,`http://localhost:5678`,`http://localhost:5000`,`https://mail.google.com`,`http://localhost:3000`,,6a51e3ee9ff4faa8f8777dea,0,markdown,"A is correct because local self-hosted n8n exposes the workflow canvas at **`http://localhost:5678`**.

B and D are incorrect because these are common dev ports, but n8n's default local UI port is **5678**. C is incorrect because Gmail webmail is where emails are read/sent, not where you design n8n workflows."
mcsc,markdown,**CodeBridge Solutions** wants a workflow that starts automatically when a new email arrives from an approved contractor — without anyone clicking **Execute workflow**. Which trigger fits best?,,,,,,2,,Trigger manually,Gmail → On message received,On form submission,On a schedule only,,6a51e3ee9ff4faa8f8777dea,0,markdown,"B is correct because an **on app event** Gmail trigger with **On message received** polls the inbox and starts the workflow when matching mail arrives.

A is incorrect because manual trigger needs a human to start each run. C is incorrect because form submission starts on an n8n-hosted form, not on incoming Gmail. D is incorrect because schedule runs on a timer, not when a specific email lands."
mcsc,markdown,"In a **Basic LLM chain** node, what is the main job of the **system prompt**?",,,,,,2,,Store Gmail OAuth Client ID and Client Secret,Set standing rules and role for the model before the user task,Replace the need for an OpenAI API key,Merge outputs from two parallel LLM branches,,6a51e3ee9ff4faa8f8777dea,0,markdown,"B is correct because the **system prompt** defines the model's role and boundaries. The **user prompt** carries the actual task plus dynamic input.

A is incorrect because OAuth secrets live in n8n **Credentials**, not in prompts. C is incorrect because API keys are still required in the OpenAI credential. D is incorrect because **Merge** combines parallel LLM outputs, not the system prompt."
mcsc,markdown,"While building LLM nodes, Arjun pins sample output on the Gmail trigger so he does not re-fetch mail on every test. What is the best practice before a final end-to-end demo?",,,,,,2,,Keep all nodes pinned forever,Unpin trigger and downstream pinned data so the workflow reads a fresh email,Delete the Gmail credential,Change poll time to every second,,6a51e3ee9ff4faa8f8777dea,0,markdown,"B is correct because **pin data** speeds up building, but **unpinning** before a realistic full run ensures the pipeline processes a new email instead of frozen sample data.

A is incorrect because pinned data can cause repeated runs on the same cached payload. C is incorrect because deleting credentials breaks the pipeline. D is incorrect because polling every second creates unnecessary API load."
mcsc,markdown,Meera connected Gmail OAuth but the trigger still cannot read messages. She enabled APIs in Google Cloud. Which API must be enabled for this Gmail integration?,,,,,,1,,Gmail API,Google Maps API,Google Photos API,YouTube Data API,,6a51e3ee9ff4faa8f8777dea,0.5,markdown,"A is correct because reading and sending mail through n8n's Gmail nodes requires the **Gmail API** to be enabled in the correct Google Cloud project.

B, C, and D are incorrect because Maps, Photos, and YouTube are unrelated to inbox access."
mcsc,markdown,"A pipeline runs **code summarizer** and **code commentator** in parallel from the same Gmail trigger. Before sending the reply email, both outputs must be ready. Which node waits until both branches finish?",,,,,,2,,Aggregate,Merge,IF,Edit Fields,,6a51e3ee9ff4faa8f8777dea,0.5,markdown,"B is correct because the **Merge** node combines multiple streams and waits until data from **both** parallel LLM branches is available.

A is incorrect because **Aggregate** combines fields after merge. C is incorrect because **IF** branches on a condition. D is incorrect because **Edit Fields** remaps fields optionally."
mcmc,markdown,Which settings help restrict a Gmail trigger so it does not process every message in the inbox?,,,,,,,,**Sender** filter set to an approved email address,**Event** set to message received,Hard-coding one customer name inside the OpenAI API key field,**Poll time** chosen based on how quickly new mail must be detected,"1, 2, 4",6a51e3ee9ff4faa8f8777dea,0.5,markdown,"A, B, and D are correct — sender filter limits which From address can trigger the flow; message received is the correct event type; poll time controls check frequency.

C is incorrect because API keys authenticate OpenAI; they do not filter Gmail senders."
mcmc,markdown,A team is wiring **Basic LLM chain** nodes after a Gmail trigger. Which steps are correct?,,,,,,,,Choose **Define below** so email `text` can be dragged into the user prompt,Attach an **OpenAI Chat Model** sub-node with a valid API key credential,Map the full email body by typing a fixed sample string instead of expressions,"Rename nodes (for example, **code summarizer**) to keep the canvas readable","1, 2, 4",6a51e3ee9ff4faa8f8777dea,0.5,markdown,"A, B, and D are correct — Define below connects prior node data; OpenAI credential powers the chain; clear node names aid maintenance.

C is incorrect because hard-coded sample text breaks the pipeline for new emails; use expressions from trigger output."
mcmc,markdown,**CodeBridge** built: **Gmail trigger → parallel summarizer + commentator → Merge → Aggregate → Gmail Send message**. Which statements are correct?,,,,,,,,Both LLM chains can connect directly from the same Gmail trigger for parallel execution,**Merge** should receive one input from summarizer and one from commentator,**Aggregate** helps combine `text` fields (for example `text0` and `text1`) before mapping the email body,The Gmail send node should map **text0** and **text1** from aggregate output into the outgoing message,"1, 2, 3, 4",6a51e3ee9ff4faa8f8777dea,1,markdown,"A, B, C, and D are all correct — parallel branches share the same trigger input; Merge takes two streams; Aggregate rolls up text fields; Send maps aggregated fields into the reply."
mcmc,markdown,"While testing and handing off an n8n AI email pipeline, which statements are correct?",,,,,,,,**Fetch test event** on the Gmail trigger helps verify ingestion before wiring LLM nodes,Exporting workflow **JSON** shares node wiring; teammates still reconnect their own credentials locally,"If OpenAI credentials are invalid, the LLM sub-node may fail until a valid API key and model are saved","Sharing Client ID, Client Secret, and API keys in a public chat is the recommended handoff method","1, 2, 3",6a51e3ee9ff4faa8f8777dea,1,markdown,"A, B, and C are correct — Fetch test event validates trigger output; JSON export transfers structure not secrets; bad OpenAI setup causes LLM errors.

D is incorrect because credentials must be treated like passwords and never shared publicly."
